video_filename,site,array_size,distribution,number_reward,bout,flowerID,visit_order,visit_type,NOTES,,
20210624_1020,SPNC,5x4,uniform,20,93,14,2,,,,
20210624_1030,SPNC,5x4,uniform,20,94,9,1,,,,
20210624_1030,SPNC,5x4,uniform,20,94,4,2,,,,
20210624_1036,SPNC,5x4,uniform,20,95,6,1,,,,
20210624_1036,SPNC,5x4,uniform,20,95,7,2,,,,
20210624_1036,SPNC,5x4,uniform,20,95,6,3,,,,
20210624_1037,SPNC,5x4,uniform,20,96,15,1,,,,
20210624_1037,SPNC,5x4,uniform,20,96,14,2,,,,
20210624_1037,SPNC,5x4,uniform,20,96,13,3,,,,
20210624_1051,SPNC,5x4,uniform,20,97,1,1,,,,
20210624_1051,SPNC,5x4,uniform,20,97,5,2,,,,
20210624_1051,SPNC,5x4,uniform,20,97,4,3,,,,
20210624_1051,SPNC,5x4,uniform,20,97,3,4,,,,
20210624_1051,SPNC,5x4,uniform,20,97,1,5,,,,
20210624_1051,SPNC,5x4,uniform,20,97,6,6,,,,
20210624_1051,SPNC,5x4,uniform,20,97,11,7,,,,
20210624_1053,SPNC,5x4,uniform,20,98,10,1,,,,
20210624_1053,SPNC,5x4,uniform,20,98,5,2,,,,
20210624_1058,SPNC,5x4,uniform,20,99,10,1,,,,
20210624_1058,SPNC,5x4,uniform,20,99,5,2,,,,
20210624_1102,SPNC,5x4,uniform,20,100,13,1,,,,
20210624_1102,SPNC,5x4,uniform,20,100,14,2,,,,
20210624_1102,SPNC,5x4,uniform,20,100,18,3,,,,
20210624_1102,SPNC,5x4,uniform,20,100,17,4,,,,
20210624_1102,SPNC,5x4,uniform,20,100,16,5,,,,
20210624_1102,SPNC,5x4,uniform,20,100,11,6,,,,
20210624_1102,SPNC,5x4,uniform,20,100,6,7,,,,
20210624_1102,SPNC,5x4,uniform,20,100,4,8,,,,
20210624_1102,SPNC,5x4,uniform,20,100,5,9,,,,
20210624_1110,SPNC,5x4,uniform,20,101,9,1,,,,
20210624_1110,SPNC,5x4,uniform,20,101,7,2,,,,
20210624_1110,SPNC,5x4,uniform,20,101,5,3,,,,
20210624_1113,SPNC,5x4,uniform,20,102,5,1,,,,
20210624_1947,SPNC,5x4,uniform,20,103,15,1,,,,
20210624_1954,SPNC,5x4,uniform,20,104,12,1,,,,
20210624_2003,SPNC,5x4,uniform,20,105,14,1,,,,
20210624_2003,SPNC,5x4,uniform,20,105,9,2,,,,
20210624_2009,SPNC,5x4,uniform,20,106,1,1,,,,
20210624_2009,SPNC,5x4,uniform,20,106,2,2,,,,
20210624_2021,SPNC,5x4,uniform,20,107,1,1,,,,
20210624_2021,SPNC,5x4,uniform,20,107,7,2,,,,
20210624_2021,SPNC,5x4,uniform,20,107,2,3,,,,
20210624_2021,SPNC,5x4,uniform,20,107,3,4,,,,
20210624_2033,SPNC,5x4,uniform,20,108,7,1,,,,
20210624_2033,SPNC,5x4,uniform,20,108,12,2,,,,
20210624_2033,SPNC,5x4,uniform,20,108,6,3,,,,
20210624_2047,SPNC,5x4,uniform,20,109,1,1,,,,
20210624_2047,SPNC,5x4,uniform,20,109,6,2,,,,
20210624_2047,SPNC,5x4,uniform,20,109,11,3,,,,
20210624_2047,SPNC,5x4,uniform,20,109,16,4,,,,
20210624_2049,SPNC,5x4,uniform,20,110,12,1,,,,
20210624_2049,SPNC,5x4,uniform,20,110,11,2,,,,
20210624_2049,SPNC,5x4,uniform,20,110,16,3,,,,
20210624_2049,SPNC,5x4,uniform,20,110,17,4,,,,
20210624_2049,SPNC,5x4,uniform,20,110,3,5,,,,
20210624_2049,SPNC,5x4,uniform,20,110,8,6,,,,
20210624_2049,SPNC,5x4,uniform,20,110,14,7,,,,
